objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
-14056,147,86,168.76,81.6416
-13764,146,90,169.137,84.6917
-6284,146,82,164.51,81.964
-12493,144,78,169.899,82.4154
-5476,138,85,156.883,81.2422
-6919,141,86,165.019,82.4895
-7293,143,93,164.374,84.2763
-6674,142,92,166.776,86.025
-13198,145,79,168.079,82.3073
-3822,141,87,162.006,86.3974
-8919,142,81,163.653,80.7207
-17347,145,87,168.979,81.7508
-11951,142,80,164.06,75.7257
-11130,141,88,163.173,82.987
-3833,147,96,162.716,83.6366
-9673,146,80,170.442,86.5926
-5376,143,93,166.973,89.3834
-9133,142,81,162.25,79.7417
-15670,142,81,165.307,78.7497
-6166,146,90,167.403,85.7548
-8450,144,81,169.528,81.7347
-14675,145,73,169.699,78.8038
-11059,145,80,169.974,82.985
-8762,148,90,171.501,89.7347
-8639,143,82,166.736,81.9459
-8546,147,83,167.786,86.2482
-9621,149,101,166.969,89.1381
-8770,147,83,168.764,84.043
-8941,150,99,165.303,85.8559
-2809,145,86,162.846,83.5205
-7590,145,86,168.497,87.1031
-11771,145,81,168.196,83.7558
-15722,147,86,168.758,83.035
-10826,147,86,166.682,81.9059
-8861,144,85,164.056,82.1552
-10825,146,88,167.894,80.8048
64,140,101,157.882,85.031
-2092,146,99,164.799,86.965
-6963,138,81,159.489,81.5475
-4748,143,81,164.221,82.5996
-8421,147,87,170.32,84.6476
-10887,144,92,163.029,78.2563
-5333,148,98,164.517,87.6466
-2332,145,93,164.431,88.9299
-16445,144,76,169.132,77.6747
-6473,142,86,163.626,82.1441
-9290,143,87,167.319,87.0611
-11113,145,85,170.713,82.3273
-11587,145,90,167.88,86.3894
-10291,144,83,164.483,80.1992
-17645,143,80,165.493,79.4024
-4726,145,91,167.032,86.7628
-13020,148,83,168.896,80.2062
-18398,148,86,171.471,82.8579
-10737,148,86,167.742,82.6657
-13899,146,80,169.362,83.3614
-16571,143,82,169.531,82.7978
-13481,145,73,167.273,75.0521
-11903,147,80,167.64,82.9149
-17322,146,83,171.1,84.2933
-5855,146,90,168.699,84.5526
-4494,143,82,162.881,84.8098
-5783,144,90,164.456,84.6046
-6324,147,100,166.005,88.7988
-12238,144,88,167.094,84.7457
-11266,145,87,165.384,78.98
-14180,142,76,168.147,82.7267
-6012,143,85,164.296,83.8118
-10979,146,92,168.628,87.8088
-7623,148,98,171.11,92.9459
-8706,145,86,163.044,79.4094
-2494,140,90,163.293,87.2703
-5752,147,92,162.455,81.8268
-10008,146,86,167.164,82.8278
-7389,144,90,163.391,84.003
-5121,143,95,165.334,86.7898
-18448,145,82,169.201,84.8058
-6428,147,92,164.494,79.7277
-7250,141,85,160.199,81.988
-9571,148,91,166.449,85.7888
-9339,146,85,165.947,82.964
-3866,144,94,164.183,86.4344
-7101,145,87,163.693,83.8929
-6296,145,83,163.989,83.6176
-4923,144,91,163.171,81.2242
-12030,145,89,166.353,82.8008
-6084,147,96,166.871,83.4054
-8986,146,84,168.221,85.5606
-9950,145,76,167.326,77.5946
-6126,145,85,165.42,83.7568
-9828,144,94,167.292,85.8388
-11628,144,88,165.715,81.8609
-6379,149,91,163.318,82.7658
-10799,147,91,169.63,83.7978
-8400,145,87,169.573,83.6346
-8803,148,84,168.13,84.8889
-12318,148,87,170.118,79.1582
-11828,144,86,167.575,84.4535
-14487,146,89,167.99,81.9499
-4985,145,85,161.441,80.1021
-5869,144,88,164.621,81.9009
-6247,142,85,160.361,81.1782
-7782,143,76,162.72,78.7107
-9582,145,77,166.726,83.3293
-8036,141,84,161.395,75.044
-8136,145,93,169.659,90.032
-6546,145,92,167.576,87.8819
-7681,144,78,168.154,84.0531
-5021,139,89,159.316,80.0661
-9775,144,82,165.591,79.016
-5051,145,98,164.859,81.4234
-6479,141,77,163.086,78.8378
-9063,146,93,166.158,86.5516
-5637,142,88,161.44,82.1061
-14071,145,92,170.243,85.5485
-6610,147,92,166.984,87.2262
-12109,146,86,169.405,81.956
-6187,146,95,164.722,84.2873
-9654,148,99,166.907,81.2873
-12053,146,96,170.494,85.6917
-8897,148,93,168.437,88.4635
-5749,145,93,166.318,88.3443
-13705,145,85,166.196,80.6446
-12721,148,77,170.183,81.3814
-8580,143,93,168.193,88.9289
-12185,144,67,167.633,77.1041
-5302,147,99,166.571,86.4575
-4463,146,86,164.908,86.987
-9034,143,79,162.622,82.1451
-5460,145,105,164.054,88.2132
-14656,145,78,168.623,80.8669
-11106,148,78,169.873,84.6216
-5280,144,77,167.16,84.7337
-7510,145,81,167.976,83.964
-16395,147,92,170.97,85.5215
-8171,148,94,168.654,85.1241
-12416,146,94,168.473,82.986
-7520,146,92,168.105,86.015
-11561,145,84,166.574,82.5495
-9106,147,88,165.523,79.4424
-6491,143,92,164.861,88.0971
-15073,148,77,172.7,81.4675
-5910,148,97,165.8,83.4434
-8179,146,87,164.206,82.7798
-12582,146,92,170.198,85.4114
-12301,146,93,167.001,86.2763
-5892,145,90,165.061,85.5075
-12995,145,87,166.19,81.4254
-7405,143,83,166.488,83.2743
-8385,147,100,168.701,87.5506
-10566,142,85,162.749,80.2843
-6006,144,87,164.166,84.1682
-8607,145,79,168.505,85.963
-13787,141,79,164.814,80.1642
-2691,139,75,155.513,75.9119
