objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
17711,154,120,156.15,104.706
17700,148,104,157.435,105.408
16946,151,101,157.848,100.379
18780,152,117,156.878,109.09
16972,155,107,162.347,109.692
17002,152,106,157.878,102.315
17549,153,106,158.748,104.045
18381,149,112,155.856,105.312
18119,151,108,157.359,107.135
17735,156,117,162.06,111.023
18339,148,101,154.79,106.003
16684,149,109,157.532,105.633
17556,153,113,158.687,109.17
17175,149,99,157.557,103.889
17544,151,118,159.331,109.971
17721,154,111,161.051,106.282
18217,151,117,159.088,111.896
16165,153,103,157.303,101.542
17528,154,118,159.957,110.167
17819,152,119,158.201,106.581
17781,148,107,156.005,106.199
17379,152,103,160.96,105.784
18703,152,109,160.243,113.628
17919,154,106,161.368,109.744
17634,150,109,156.397,103.899
18396,155,122,158.758,108.124
16743,155,111,160.967,106.037
17719,153,107,158.655,106.941
17729,152,108,159.901,107.3
18731,150,114,154.987,108.202
17793,153,114,158.409,107.399
17548,154,111,158.87,106.505
17832,150,113,155.338,105.776
18369,153,117,159.897,110.723
16313,151,104,159.795,102.055
18175,151,107,159.705,110.265
18230,154,117,160.383,109.75
16875,153,120,161.911,109.558
18755,151,120,157.011,109.79
18014,151,114,158.516,112.535
18131,152,102,158.831,103.658
18454,152,117,159.244,111.533
18553,153,117,158.377,110.109
18244,151,106,158.302,107.409
17384,154,120,161.59,108.446
17947,153,111,159.309,107.347
16917,152,108,158.239,103.664
18325,152,111,158.649,107.861
18065,153,115,155.776,107.69
17642,153,109,159.795,110.605
18410,154,115,160.391,111.692
17860,153,120,160.646,111.761
17743,153,113,159.44,110.268
18839,151,118,158.561,112.011
18421,152,116,157.147,110.377
17311,152,119,157.207,107.959
17619,151,109,159.595,107.606
17795,150,111,158.802,108.365
16849,152,94,160.957,102.381
17375,152,117,160.402,111.7
18200,153,121,157.203,108.46
16731,150,102,157.341,104.761
18405,153,113,161.125,107.277
17925,155,111,160.309,111.369
17591,154,116,159.523,107.349
16834,153,109,161.371,105.202
18755,153,117,161.038,113.488
18016,151,112,156.84,106.646
17600,155,116,160.14,107.315
16351,154,96,160.939,102.34
17556,153,102,158.03,101.337
18715,154,121,156.282,108.57
17366,149,106,156.308,106.175
17743,153,108,158.024,103.007
17286,151,107,159.183,106.542
18691,154,127,155.547,109.26
16900,156,114,162.975,110.763
17375,150,108,158.226,105.515
17641,151,113,156.878,111.225
17159,149,102,155.097,103.338
17366,151,108,158.223,105.458
17461,151,104,156.127,101.23
18213,153,118,159.167,110.708
17041,151,112,155.802,103.174
17655,154,112,160.095,108.869
17871,154,111,162.111,108.98
16978,151,107,155.955,101.478
16047,153,100,161.797,101.286
16825,152,114,157.925,104.292
17567,153,121,158.565,105.56
18045,153,115,158.429,109.047
18291,153,115,158.21,110.21
18048,150,115,156.114,107.409
18081,151,112,159.273,108.37
18697,153,118,159.936,112.137
18646,151,120,157.451,109.593
16147,153,107,159.905,100.911
17990,155,114,160.943,112.316
18140,155,121,159.75,109.753
16982,154,110,158.24,106.743
17403,151,105,156.68,106.291
17888,154,113,161.332,111.448
17851,154,119,159.669,112.091
17548,153,102,161.06,105.155
17562,152,111,157.502,107.891
18335,149,108,152.993,105.105
18167,152,116,158.225,109.744
17043,152,111,159.197,107.307
16961,153,114,162.175,109.375
17843,154,112,159.285,107.131
18237,152,115,156.742,108.332
18094,152,122,158.14,111.833
17488,151,106,159.219,105.41
17214,152,107,160.128,109.373
18143,151,115,156.214,108.523
17172,153,103,162.859,105.682
17638,152,110,159.301,105.921
18758,152,124,154.271,106.45
17197,152,105,160.845,108.625
18917,151,115,155.344,111.068
18412,150,111,157.413,110.642
17914,150,110,159.075,108.434
18084,150,107,158.275,107.067
16923,148,101,157.97,100.338
16917,150,99,157.686,102.623
18805,152,117,160.188,113.479
18689,151,112,156.272,107.066
16953,155,117,162.186,109.569
18223,153,109,160.689,109.899
17405,151,107,153.826,100.534
17246,150,100,156.084,100.214
17242,152,109,157.719,105.128
18577,151,116,155.955,107.96
17718,153,118,159.476,106.866
17698,149,114,156.203,106.237
17993,152,108,160.739,109.933
18855,153,114,160.39,111.241
17010,153,108,161.518,105.274
17995,152,106,160.855,107.658
17409,149,112,158.228,108.03
17443,153,107,161.563,106.821
18856,152,114,159.269,112.022
17206,156,114,162.926,110.711
16408,156,111,162.841,105.626
17170,154,107,159.567,103.837
16670,153,113,160.414,106.592
18296,152,116,157.846,108.916
17827,151,99,158.05,104.026
19224,154,119,158.04,112.394
16360,154,111,162.512,105.346
17301,152,109,159.22,109.584
18228,151,107,156.238,104.444
17244,152,115,158.249,105.602
17624,150,105,157.949,108.034
18771,149,116,153.275,105.608
17405,153,112,159.752,106.282
18810,149,109,155.628,105.271
17609,153,115,159.492,108.897
17836,150,108,157.335,105.06
17473,152,102,160.564,108.393
18477,147,104,151.773,102.315
17397,156,109,162.489,110.767
17490,150,104,158.413,105.471
16477,152,111,160.278,105.963
17811,153,112,158.952,110.079
18785,149,110,155.157,109.37
17712,153,107,161.3,110.924
17755,152,117,156.324,108.18
17008,150,94,158.63,99.3784
16724,154,114,164.319,110.869
17026,151,103,158.714,105.239
17722,152,104,159.185,106.875
19026,153,117,157.083,108.239
18036,152,114,159.169,109.939
18276,151,107,156.674,103.322
16994,154,117,160.703,107.557
18611,154,110,161.023,108.793
16049,151,99,156.799,96.7307
17104,149,100,154.566,99
18035,151,118,157.66,109.804
17511,149,100,158.569,105.19
17916,152,110,157.921,108.108
17863,152,113,159.966,109.735
17615,156,123,159.386,108.626
19179,148,113,152.023,106.791
17516,152,111,160.003,110.125
17670,151,113,159.548,107.991
18176,151,112,156.486,104.082
18189,152,110,156.925,108.724
17720,154,108,160.175,107.804
17758,150,103,156.94,104.793
17430,151,107,156.764,104.075
18634,149,106,158.49,110.335
17781,151,109,160.362,109.881
17929,150,104,157.809,106.256
17591,151,105,157.475,107.667
17106,149,111,156.682,105.195
16376,154,112,160.627,108.329
16983,155,107,163.428,107.639
17717,151,109,159.239,106.495
18065,153,103,162.18,108.663
18471,153,119,159.083,110.637
18120,154,127,161.202,114.05
17305,152,108,157.454,105.494
18339,154,123,160.17,114.444
18275,152,127,158.502,108.776
18633,152,116,161.003,113.635
18347,151,106,158.365,109.027
17547,151,109,158.794,106.968
17227,151,107,157.447,105.81
17938,154,114,159.438,107.692
18574,152,113,157.3,107.599
17280,153,107,158.331,106.626
17772,151,111,158.604,108.268
18207,152,114,159.425,111.361
17379,151,110,158.021,108.863
18051,152,111,161.123,112.132
17295,149,94,156.337,101.409
17804,154,115,158.178,106.325
17971,151,98,158.803,106.326
17735,154,115,155.472,102.963
