objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
3538,88,49,68.4054,33.954
3222,87,56,66.8509,34.0761
3093,85,44,68.1031,33.9499
3449,90,48,68.6256,34.7417
1953,78,41,63.6577,31.2673
2753,82,43,66.8338,34.4384
2001,85,42,67.2012,32.2643
3638,89,52,67.982,34.9189
2965,81,42,67.2192,33.1752
2807,89,45,70.6326,32.6947
2870,89,51,67.6246,32.9109
2804,86,47,69.3654,35.5055
2956,87,49,66.6747,32.6486
3079,89,49,68.2943,34.1992
3745,88,54,68.8198,36.3594
3943,88,51,67.1091,35.1131
3273,84,45,66.3433,33.1592
3930,87,44,66.3433,32.6827
3675,88,51,66.4585,31.7467
4737,88,52,67.3333,35.5896
3196,85,43,67.8949,34.4344
2973,88,45,68.6847,32.0601
2620,90,47,67.5796,34.3814
1354,86,45,67.1882,32.6847
3302,88,54,67.1602,34.6186
3501,89,46,68.1892,33.8418
3750,87,44,67.3984,33.0701
1997,82,41,66.1381,31.9289
4044,91,49,69.0541,35.0791
4705,90,55,68.1421,35.983
1673,88,41,70.4244,34.0761
2586,85,45,63.969,29.2182
3638,91,53,66.6236,30.998
3953,86,48,67.7938,35.3393
4387,88,50,68.8649,35.8058
2787,87,47,67.4705,33.4555
2228,84,52,63.5285,31.5285
2639,88,44,68.4975,32.1792
3020,88,46,70.2322,35.7437
3641,88,45,66.03,33.4254
4148,89,38,69.2442,33.5516
3875,85,47,68.8939,36.0831
2097,86,47,69.2533,34.4204
3018,92,55,68.4525,33.7127
3206,90,48,68.1221,34.4464
3357,90,46,67.3473,33.2062
4126,91,50,69.2202,36.5105
2658,90,51,68.0881,33.2482
3500,86,47,68.5495,35.4605
2854,87,49,69.6176,34.3263
3234,90,48,68.8509,34.5906
3347,85,43,69.7137,36.1331
3615,91,50,67.6547,31.8879
3223,84,44,69.6456,34.2783
3748,94,52,71.2543,36.1451
3240,88,51,70.0501,35.6056
2929,92,50,69.4955,34.1962
3161,88,49,67.2092,32.4915
4327,90,54,69.1762,35.5405
2129,89,44,68.6927,32.5566
2479,91,51,67.5666,35.1852
4067,88,50,68.3644,34.96
4290,87,50,67.5806,35.7397
2696,88,45,67.6917,32.4525
3287,85,47,68.9399,34.1221
4560,91,49,72.4054,37.6847
3200,89,48,67.6346,33.8559
4615,96,51,67.7578,34.6136
3365,90,48,69.999,33.6817
4026,92,54,69.5866,36.5055
2407,89,45,67.5566,32.7768
4154,84,51,65.7618,35.048
2807,81,43,65.7528,32.6316
2634,85,45,67.8809,33.4765
3603,96,54,70.1752,34.7377
