objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
3497,154,86,174.989,79.5035
-5847,155,81,176.556,75.0991
121,155,89,175.412,79.4404
7570,152,94,168.324,81.9199
7813,154,106,170.243,87.7097
3379,155,95,173.915,84.027
5300,155,89,172.851,80.1421
-1758,156,88,176.71,81.2212
6942,155,101,176.232,83.8689
-425,155,83,175.471,77.6947
4491,154,88,173.905,80.3554
8538,153,101,165.92,83.009
4971,155,96,176.075,87.1742
2757,153,86,171.884,75.5526
1644,154,86,174.891,78.1011
5749,155,97,169.306,78.1852
3850,154,90,172.657,82.3714
2641,156,91,175.145,81.4284
-3615,153,93,174.446,78.0651
2108,156,91,175.514,83.0531
7267,153,87,168.69,78.6977
8685,154,104,169.75,83.976
5240,153,87,168.247,75.011
3371,155,90,175.501,80.9439
6363,156,96,176.532,87.1912
6744,150,92,167.03,79.4525
5952,156,102,175.317,84.9499
5428,154,90,171.591,83.032
5096,155,86,173.128,79.5596
3963,156,94,175.323,81.0871
2312,156,91,173.58,82.7918
4843,155,90,174.457,82.6647
-4261,156,88,176.541,78.6176
4132,153,100,172.396,82.3313
4674,155,97,174.151,80.8869
4003,153,93,170.345,80.976
-316,153,79,175.615,76.7237
7755,155,101,174.933,89.976
4906,147,82,167.542,77.7868
9378,153,92,169.303,80.6847
-2297,154,87,176.235,79.4845
2559,153,94,173.308,83.7578
4291,154,78,173.911,75.7167
2849,155,91,174.31,81.4865
5988,156,95,170.21,81.6406
4039,155,93,173.684,83.1181
-2265,154,73,176.803,75.4064
1259,154,96,174.425,80.2943
3845,156,94,175.252,82.4865
-1073,155,90,176.115,81.2973
5395,153,87,168.462,79.0501
5721,153,84,174.201,79.983
-1609,156,94,177.491,80.5465
-3799,154,96,173.453,82.015
-3290,153,89,173.657,78.1471
10307,154,105,171.982,82.5916
-129,155,87,176.749,81.4965
-1715,156,88,176.475,81.6496
3063,152,93,171.06,79.1361
2842,154,88,170.917,75.6897
3003,156,94,173.508,84.4344
9336,155,104,175.957,87.7127
4718,152,87,170.46,79.4895
9440,155,94,173.882,82.1952
5832,150,92,167.84,78.3173
9096,156,98,172.844,80.9309
4876,153,89,172.721,82.4104
1717,155,86,176.38,78.005
1298,152,75,169.925,76.7017
6916,151,82,170.428,79.2673
4055,153,87,172.455,79.6847
6844,154,88,170.09,79.8829
5598,153,84,169.086,76.5996
-3720,156,88,175.303,77.4354
2562,154,78,174.223,77.013
4561,152,87,165.875,79.6977
-2944,155,82,177.257,79.2543
3070,155,97,175.944,85.1742
3217,152,85,171.254,79.8408
-2068,154,84,176.276,78.0541
594,156,86,175.189,76.1822
6207,155,97,171.217,83.6136
3839,155,94,173.946,81.998
1694,155,80,176.453,76.03
7643,156,97,173.994,85.2853
1169,156,102,176.79,84.3123
-551,155,85,174.851,75.5145
6270,155,88,171.934,78.8248
6266,156,93,173.439,83.2783
-721,153,78,175.777,77.4585
5732,154,98,172.909,85.8048
1256,156,92,174.781,80.6276
4613,155,90,175.306,83.7638
1693,154,86,174.456,79.6226
11413,154,101,168.286,86.6817
1886,154,82,176.162,81.954
-762,156,88,178.229,80.7357
11765,156,97,170.175,87.9009
-3529,156,88,178.112,78.7588
1525,155,90,173.088,78.8478
6042,153,96,169.785,80.022
1507,156,97,177.697,81.7518
5122,155,102,171.003,83.2743
892,155,92,171.467,78.007
327,154,97,171.324,79.9469
1816,156,92,174.003,79.3393
